Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
131,TA064,2003/04,MTA,Somatropin,Pharmaceutical,Growth hormone deficiency (adults),Optimised,"Optimised recommendation for use in specific circumstances for people who have severe GH deficiency and they have a perceived impairment of quality of life (QoL), as demonstrated by a reported score of at least 11 in the disease-specific ‘Quality of life assessment of growth hormone deficiency in adults’ (QoL-AGHDA) questionnaire; and they are already receiving treatment for any other pituitary hormone deficiencies as required."
132,TA065,2003/04,MTA,Rituximab,Pharmaceutical,Non-Hodgkin's lymphoma - stage II - IV,Recommended,Recommendation in line with marketing authorisation.
133,TA065,2003/04,MTA,Rituximab,Pharmaceutical,Non-Hodgkin's lymphoma - stage I,Only in Research,"At the time of appraisal, the clinical and cost-effectiveness of rituximab in patients with localised (stage 1) disease had not been established. Therefore use in these circumstances was only recommended as part of ongoing or new clinical studies.  "
134,TA066,2003/04,MTA,Olanzapine,Pharmaceutical,Bipolar disorder,Recommended,Guidance has been incorporated in CG38. Recommendation in line with marketing authorisation.
135,TA066,2003/04,MTA,Valproate semisodium,Pharmaceutical,Bipolar disorder,Recommended,Guidance has been incorporated in CG38. Recommendation in line with marketing authorisation.
136,TA067,2003/04,MTA,Amantadine,Pharmaceutical,Influenza (prevention),Not recommended,"Guidance has been replaced by TA158. At the time of appraisal, no direct evidence was available on the clinical effectiveness of amantadine at a dose of 100 mg for at-risk groups. "
137,TA067,2003/04,MTA,Oseltamivir,Pharmaceutical,Influenza (prevention),Recommended,Guidance has been replaced by TA158. Recommendation in line with national influenza guidelines.
138,TA068,2003/04,MTA,Photodynamic therapy (PDT),Other therapeutic therapies,Macular degeneration,Optimised,Optimised recommendation for use in specific circumstances for people with wet age-related macular degeneration who have a confirmed diagnosis of classic with no occult subfoveal CNV and best-corrected visual acuity 6/60 or better. 
139,TA069,2003/04,MTA,Liquid Based Cytology (LBC),Other therapeutic therapies,Cervical cancer,Recommended,Update of guidance TA5. Moved to static list in 2007. Recommendation in line with clinical practice.
140,TA070,2003/04,MTA,Imatinib,Pharmaceutical,Leukaemia (CML),Recommended,Update of guidance TA50. Guidance has been partially updated by TA241 and TA251. Recommendation in line with marketing authorisation.
141,TA071,2003/04,MTA,Bare-metal stent (BMS),Medical device,Ischaemic heart disease,Recommended,Update of guidance TA4. Recommendation in line with clinical practice. 
142,TA071,2003/04,MTA,Drug-eluting stent (DES) - paclitaxel-eluting,Medical device,Ischaemic heart disease,Optimised,Update of guidance TA4. Optimised recommendation for use under specific circumstances depending on vessel anatomy.
143,TA071,2003/04,MTA,Drug-eluting stent (DES) - sirolimus-eluting,Medical device,Ischaemic heart disease,Optimised,Update of guidance TA4. Optimised recommendation for use under specific circumstances depending on vessel anatomy.
144,TA072,2003/04,MTA,Anakinra,Pharmaceutical,Rheumatoid arthritis,Only in Research,"Guidance has been incorporated in CG79. At the time of appraisal, there was insufficient evidence to recommend anakinra for the treatment of rheumatoid arthritis, except in the context of a controlled, long-term clinical study. "
145,TA073,2003/04,MTA,Myocardial perfusion scintigraphy (MPS) using single photon emission computed tomography (SPECT),Other therapeutic therapies,Angina and myocardial infarction,Recommended,Guidance has been partially incorporated in CG95. Recommendation in line with clinical practice. 
146,TA074,2003/04,MTA,Pre-hospital fluid replacement therapy - crystalloid solutions,Other therapeutic therapies,Trauma,Recommended,Recommendation in line with clinical practice. 
147,TA075,2003/04,MTA,Peginterferon alfa and ribavirin – combination therapy,Pharmaceutical,Hepatitis C,Recommended,Update of guidance TA14. Recommendation in line with marketing authorisation.
148,TA075,2003/04,MTA,Peginterferon alfa monotherapy,Pharmaceutical,Hepatitis C,Recommended,Update of guidance TA14. Recommendation in line with marketing authorisation.
149,TA076,2003/04,MTA,Gabapentin,Pharmaceutical,Epilepsy (adults),Recommended,Recommendation in line with marketing authorisation.
150,TA076,2003/04,MTA,Lamotrigine,Pharmaceutical,Epilepsy (adults),Recommended,Recommendation in line with marketing authorisation.
151,TA076,2003/04,MTA,Levetiracetam,Pharmaceutical,Epilepsy (adults),Recommended,Recommendation in line with marketing authorisation.
152,TA076,2003/04,MTA,Oxcarbazepine,Pharmaceutical,Epilepsy (adults),Recommended,Recommendation in line with marketing authorisation.
153,TA076,2003/04,MTA,Tiagabine,Pharmaceutical,Epilepsy (adults),Recommended,Recommendation in line with marketing authorisation.
154,TA076,2003/04,MTA,Topiramate,Pharmaceutical,Epilepsy (adults),Recommended,Recommendation in line with marketing authorisation.
155,TA076,2003/04,MTA,Vigabatrin,Pharmaceutical,Epilepsy (adults),Recommended,Recommendation in line with marketing authorisation.
156,TA077,2004/05,MTA,Zaleplon,Pharmaceutical,Insomnia ,Recommended,Recommendation in line with marketing authorisation.
157,TA077,2004/05,MTA,Zolpidem,Pharmaceutical,Insomnia ,Recommended,Recommendation in line with marketing authorisation.
158,TA077,2004/05,MTA,Zopiclone,Pharmaceutical,Insomnia ,Recommended,Recommendation in line with marketing authorisation.
159,TA078,2003/04,MTA,Fluid-filled thermal balloon endometrial ablation,Surgical procedure,Menstrual bleeding,Recommended,Recommendation in line with clinical practice. 
160,TA078,2003/04,MTA,Microwave endometrial ablation,Surgical procedure,Menstrual bleeding,Recommended,Recommendation in line with clinical practice. 
161,TA079,2004/05,MTA,Gabapentin,Pharmaceutical,Epilepsy (children),Recommended,Recommendation in line with marketing authorisation.
162,TA079,2004/05,MTA,Lamotrigine,Pharmaceutical,Epilepsy (children),Recommended,Recommendation in line with marketing authorisation.
163,TA079,2004/05,MTA,Oxcarbazepine,Pharmaceutical,Epilepsy (children),Recommended,Recommendation in line with marketing authorisation.
164,TA079,2004/05,MTA,Tiagabine,Pharmaceutical,Epilepsy (children),Recommended,Recommendation in line with marketing authorisation.
165,TA079,2004/05,MTA,Topiramate,Pharmaceutical,Epilepsy (children),Recommended,Recommendation in line with marketing authorisation.
166,TA079,2004/05,MTA,Vigabatrin,Pharmaceutical,Epilepsy (children),Recommended,Recommendation in line with marketing authorisation.
167,TA080,2004/05,MTA,Clopidogrel,Pharmaceutical,Acute coronary syndromes,Optimised,Guidance has been incorporated in CG94. Optimised recommendation for use in specific circumstances for people who are at moderate to high risk of myocardial infarction or death.  
168,TA081,2004/05,MTA,Alclometasone dipropionate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
169,TA081,2004/05,MTA,Beclometasone dipropionate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
170,TA081,2004/05,MTA,Betamethasone Esters (in guidance: Betamethasone valerate),Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
171,TA081,2004/05,MTA,Clobetasol propionate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
172,TA081,2004/05,MTA,Clobetasone butyrate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
173,TA081,2004/05,MTA,Desoximetasone (old name: desoxymethasone) ,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
174,TA081,2004/05,MTA,Diflucortolone valerate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
175,TA081,2004/05,MTA,Fludroxycortide,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
176,TA081,2004/05,MTA,Fluocinolone acetonide,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
177,TA081,2004/05,MTA,Fluocinonide,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
178,TA081,2004/05,MTA,Fluocortolone,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
179,TA081,2004/05,MTA,Fluticasone propionate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
180,TA081,2004/05,MTA,Halcinonide,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
181,TA081,2004/05,MTA,Hydrocortisone,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
182,TA081,2004/05,MTA,Hydrocortisone butyrate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
183,TA081,2004/05,MTA,Mometasone furoate,Pharmaceutical,Atopic dermatitis (eczema) ,Recommended,Recommendation in line with clinical practice. 
184,TA082,2004/05,MTA,Pimecrolimus,Pharmaceutical,Atopic dermatitis (eczema),Recommended,Recommendation in line with clinical practice. 
185,TA082,2004/05,MTA,Tacrolimus,Pharmaceutical,Atopic dermatitis (eczema),Recommended,Recommendation in line with clinical practice.
186,TA083,2004/05,MTA,Laparoscopic surgery - totally extraperitonea procedurel [TEP],Surgical procedure,Hernia,Recommended,Recommendation in line with clinical practice. 
187,TA083,2004/05,MTA,Laparoscopic surgery - transabdominal preperitoneal procedure [TAPP],Surgical procedure,Hernia,Recommended,Recommendation in line with clinical practice. 
188,TA084,2004/05,MTA,Drotrecogin ,Pharmaceutical,Sepsis (severe),Recommended,Recommendation in line with marketing authorisation. 
189,TA085,2004/05,MTA,Induction therapy (basiliximab),Pharmaceutical,Renal transplantation (adults),Recommended,Recommendation in line with marketing authorisation. 
190,TA085,2004/05,MTA,Induction therapy (daclizumab),Pharmaceutical,Renal transplantation (adults),Recommended,Recommendation in line with marketing authorisation. 
